english,russian,transcription,example,category,level
living,проживание,[ˈlɪvɪŋ],Every living tells its own story,Дом и быт,A2
key,ключ,[kiː],The key arrived right on time,Дом и быт,A1
pool,бассейн,[puːl],Our pool has seen better days,Дом и быт,A1
desk,стол,[dɛsk],Your desk is quite impressive,Дом и быт,A1
visitor,посетитель,[ˈvɪzɪtə],Their visitor costs a fortune,Дом и быт,B1
guest,гость,[gɛst],A good guest makes all the difference,Дом и быт,A2
hall,зал,[hɔːl],The best hall I've ever seen,Дом и быт,A1
mirror,зеркало,[ˈmɪrə],That mirror reminds me of home,Дом и быт,A2
telephone,телефон,[ˈtɛlɪfəʊn],This telephone comes from abroad,Дом и быт,B2
household,домашнее хозяйство,[ˈhaʊshəʊld],The old household still works perfectly,Дом и быт,B2
gate,ворота,[geɪt],A new gate would be nice,Дом и быт,A1
roof,крыша,[ruːf],The roof broke down yesterday,Дом и быт,A1
housing,жилье,[ˈhaʊzɪŋ],My favorite housing is missing,Дом и быт,B1
"dormitory, dorm",общежитие,['dɔːmɪt(ə)rɪ] [dɔːm],"Her dormitory, dorm won first prize",Дом и быт,C2
pot,горшок,[pɒt],The pot speaks for itself,Дом и быт,A1
knife,нож,[naɪf],Every knife has its purpose,Дом и быт,A2
recipe,рецепт,[ˈrɛsɪpi],The recipe exceeded expectations,Дом и быт,A2
roll,рулон,[rəʊl],Our roll brings joy daily,Дом и быт,B1
clock,часы,[klɒk],That clock holds special meaning,Дом и быт,A2
ceiling,потолок,[ˈsiːlɪŋ],The ceiling represents hope,Дом и быт,B1
fence,забор,[fɛns],This fence symbolizes freedom,Дом и быт,A2
furniture,мебель,[ˈfɜːnɪʧə],A rare furniture was discovered,Дом и быт,B2
wardrobe,шкаф,[ˈwɔːdrəʊb],The ancient wardrobe survived centuries,Дом и быт,B1
stair,ступенька,[steə],The modern stair is innovative,Дом и быт,A2
entrance,вход,[ˈɛntrəns],A perfect entrance is hard to find,Дом и быт,B1
exit,выход,[ˈɛksɪt],The exit inspires creativity,Дом и быт,A1
oven,печь,[ˈʌvn],We finished ovening at noon,Дом и быт,A1
comfort,комфорт,[ˈkʌmfət],The comfort offers opportunities,Дом и быт,B1
shelf,полка,[ʃɛlf],This shelf requires attention,Дом и быт,A2
can,консервная банка,[kæn],The can deserves recognition,Дом и быт,A1
lawn,газон,[lɔːn],Every lawn contains wisdom,Дом и быт,A1
case,кейс,[keɪs],This case requires attention,Дом и быт,A1
card,карточка,[kɑːd],A beautiful card emerged,Дом и быт,A1
stuff,вещи,[stʌf],The powerful stuff transformed lives,Дом и быт,A2
box,коробка,[bɒks],The delicate box needs care,Дом и быт,A1
item,предмет,[ˈaɪtəm],This unique item stands out,Дом и быт,A1
collection,коллекция,[kəˈlɛkʃən],The collection is absolutely essential,Дом и быт,B2
tape,лента,[teɪp],My tape needs replacing soon,Дом и быт,A1
cover,крышка,[ˈkʌvə],Her cover caught everyone's attention,Дом и быт,A2
lid,крышка,[lɪd],This lid belongs to my friend,Дом и быт,A1
bowl,чаша,[bəʊl],Every bowl tells its own story,Дом и быт,A1
frame,рамка,[freɪm],The frame arrived right on time,Дом и быт,A2
album,альбом,[ˈælbəm],Our album has seen better days,Дом и быт,A2
tube,тюбик,[tjuːb],Your tube is quite impressive,Дом и быт,A1
pack,упаковка,[pæk],Their pack costs a fortune,Дом и быт,A1
a bunch of,куча чего-то,[ə bʌnʧ ɒv],A good a bunch of makes all the difference,Дом и быт,B2
match,спичка,[mæʧ],The best match I've ever seen,Дом и быт,A2
cigarette,сигарета,[ˌsɪgəˈrɛt],That cigarette reminds me of home,Дом и быт,B2
thing,вещь,[θɪŋ],This thing comes from abroad,Дом и быт,A1
glass,стакан,[glɑːs],The old glass still works perfectly,Дом и быт,A2
breakfast,завтрак,[ˈbrɛkfəst],A new breakfast would be nice,Дом и быт,B2
lunch,обед,[lʌnʧ],The lunch broke down yesterday,Дом и быт,A2
dinner,обед,[ˈdɪnə],My favorite dinner is missing,Дом и быт,A2
supper,ужин,[ˈsʌpə],Her supper won first prize,Дом и быт,A2
food,еда,[fuːd],The food speaks for itself,Дом и быт,A1
coffee,кофе,[ˈkɒfi],Every coffee has its purpose,Дом и быт,A2
wine,вино,[waɪn],The wine exceeded expectations,Дом и быт,A1
salt,соль,[sɔːlt],Our salt brings joy daily,Дом и быт,A1
fat,жир,[fæt],That fat holds special meaning,Дом и быт,A1
sugar,сахар,[ˈʃʊgə],The sugar represents hope,Дом и быт,A2
fruit,фрукты,[fruːt],This fruit symbolizes freedom,Дом и быт,A2
meal,еда,[miːl],A rare meal was discovered,Дом и быт,A1
bottle,бутылка,[ˈbɒtl],The ancient bottle survived centuries,Дом и быт,A2
meat,мясо,[miːt],The modern meat is innovative,Дом и быт,A1
beer,пиво,[bɪə],A perfect beer is hard to find,Дом и быт,A1
pepper,перец,[ˈpɛpə],The pepper inspires creativity,Дом и быт,A2
vegetables,овощи,[ˈvɛʤɪtəblz],Our vegetables promotes unity,Дом и быт,B2
dish,блюдо,[dɪʃ],The dish offers opportunities,Дом и быт,A1
cream,сливки,[kriːm],This cream requires attention,Дом и быт,A2
drink,напиток,[drɪŋk],The drink deserves recognition,Дом и быт,A1
taste,вкус,[teɪst],Every taste contains wisdom,Дом и быт,A2
milk,молоко,[mɪlk],The milk provides comfort,Дом и быт,A1
cheese,сыр,[ʧiːz],A beautiful cheese emerged,Дом и быт,A2
bread,хлеб,[brɛd],The powerful bread transformed lives,Дом и быт,A2
tea,чай,[tiː],The delicate tea needs care,Дом и быт,A1
alcohol,алкоголь,[ˈælkəhɒl],This unique alcohol stands out,Дом и быт,B1
potato,картофель,[pəˈteɪtəʊ],The potato is absolutely essential,Дом и быт,A2
sauce,соус,[sɔːs],My sauce needs replacing soon,Дом и быт,A2
juice,сок,[ʤuːs],Her juice caught everyone's attention,Дом и быт,A2
